abaisser
abalourdir
abandonner
abasourdir
abat-carrer
abâtardir
abattre
abcéder
abdiquer
abeausir
abécher
abecquer
abéliser
abéquer
aberrer
abêtir
abhorrer
abîmer
abjurer
ablater
abloquer
abloquir
abluer
ablutionner
abolir
abominer
abonder
abonner
abonnir
aborder
aborner
aboucher
abouler
abouter
aboutir
aboyer
abraquer
abraser
abréagir
abréger
abreuver
abricoter
abriter
abroger
abroutir
abrutir
absenter
absinther
absorber
absoudre
abstenir
absterger
abstraire
abuser
abuter
académifier
académiser
acagnarder
acalifourchonner
accabler
accagner
accaparer
accastiller
accéder
accélérer
accenser
accentuer
accepter
accessoiriser
accidenter
acclamer
acclimater
accointer
accoiser
accolader
accoler
accommoder
accompagner
accomplir
acconer
acconner
accorder
accorer
accoster
accoter
accouardir
accoucher
accouder
accouer
accoupler
accourcir
accourir
accoutrer
accoutumer
accouver
accrassiner
accréditer
accrocher
accroire
accroître
accroupetonner
accroupir
accueillir
acculer
acculturer
accumuler
accuser
acenser
acérer
acétaliser
acétifier
acétyler
achalander
acharner
acheminer
acheter
achever
achopper
achromatiser
acidifier
aciduler
aciérer
aciériser
acliquer
aconer
aconner
acoquiner
acquérir
acquêter
acquiescer
acquitter
acter
actiniser
actionner
activer
actualiser
acuponcturer
acupuncturer
acyler
adapter
additionner
adduire
adenter
adhérer
adirer
adjaver
adjectiver
adjectiviser
adjoindre
adjuger
adjurer
admettre
administrer
admirer
admonester
adoniser
adonner
adopter
adorer
adorner
adosser
adouber
adoucir
adresser
adroger
adsorber
aduler
adultérer
advenir
adverbialiser
aérer
aéroporter
aérosonder
aérotransporter
affabuler
affacturer
affadir
affaiblir
affainéantir
affairer
affaisser
affaiter
affaler
affamer
affamerde
afféager
affecter
affectionner
affener
afférer
affermer
affermir
afficher
affider
affiler
affilier
affiner
affiquer
affirmer
affistoler
affixer
afflécher
affleurer
affliger
afflouer
affluer
affoler
affolir
afforester
affouager
affouiller
affourager
affourcher
affourrager
affraîchir
affranchir
affréter
affriander
affrioler
affriquer
affriter
affronter
affruiter
affubler
affurer
affuser
affûter
afistoler
africaniser
agacer
agaillardir
agatifier
agatiser
agencer
agenouiller
agglomérer
agglutiner
aggraver
agioter
agir
agiter
agneler
agonir
agoniser
agourmander
agrafer
agrainer
agrandir
agréer
agréger
agrémenter
agrener
agresser
agricher
agriffer
agripper
agrouper
aguerrir
aguetter
aguicher
ahaner
aheurter
ahurir
aicher
aider
aigretter
aigrir
aiguayer
aiguer
aiguiller
aiguilleter
aiguillonner
aiguiser
ailler
ailloliser
aimanter
aimer
airer
ajointer
ajourer
ajourner
ajouter
ajuster
ajuter
alâchir
alambiquer
alanguir
alarguer
alarmer
albitiser
alcaliniser
alcaliser
alcoolifier
alcooliser
alcoolyser
alcoyler
aldoliser
alentir
alerter
aléser
alester
alestir
aleviner
algébriser
algérianiser
aliéner
aligner
alimenter
alinéater
alinéatiser
aliner
alinger
aliter
alkyler
allaiter
allécher
alléger
allégir
allégoriser
alléguer
aller
allier
allitérer
allitiser
allivrer
allocutionner
allonger
alloter
allotir
allouer
allouvir
alluder
allumer
allusionner
alluvionner
allyler
alourdir
aloyer
alpaguer
alphabétiser
altérer
altérerde
alterner
aluminer
aluminier
aluminiser
aluner
alunir
alvéoliser
amabiliser
amadouer
amaigrir
amalgamer
amaper
amariner
amarrer
amasser
amateloter
amatir
ambiancer
ambitionner
ambler
ambrer
ambuler
améliorer
aménager
amender
amener
amenuiser
américaniser
amerrir
ameublir
ameulonner
ameuter
amiauler
amicoter
amidonner
amignarder
amignonner
amignoter
amincir
aminer
ammoniaquer
ammonifier
ammoniser
ammoxyder
amnistier
amocher
amochir
amodier
amoindrir
amollir
amonceler
amorcer
amordancer
amortir
amouiller
amouler
amouracher
amourer
amphotériser
amplifier
amputer
amuïr
amunitionner
amurer
amuser
anagrammatiser
anagrammer
analgésier
analyser
anamorphoser
anaphylactiser
anarchiser
anastomoser
anathématiser
anatomiser
ancher
anchoiter
ancrer
andainer
anéantir
anecdotiser
anémier
anesthésier
angarier
angéliser
anglaiser
angler
angléser
angliciser
angoisser
anguler
anhéler
animaliser
animer
aniser
ankyloser
anneler
annexer
annihiler
annoncer
annoter
annualiser
annuler
anoblir
anodiser
anonchalir
ânonner
anonymer
anordir
anser
antagoniser
antéposer
antérioriser
anthropomorphiser
anticiper
antidater
antiparasiter
antiseptiser
anuiter
aoûter
apaiser
apâlir
apanager
apapelardir
apercevoir
apercher
apériter
apetisser
apeurer
apicaliser
apiécer
apiquer
apitoyer
aplaner
aplanir
aplatir
aplester
apologiser
apoltronner
apoltronnir
aponévrotomiser
apostasier
aposter
apostiller
apostoliser
apostropher
apostumer
apothéoser
appairer
appâlir
apparaître
appareiller
apparenter
apparier
apparoir
appartenir
appâter
appauvrir
appeauter
appeler
appeler
appendre
appertiser
appesantir
appéter
applaudir
appliquer
appointer
appointir
appoltronner
appoltronnir
apponter
apporter
apposer
apprécier
appréhender
apprendre
apprêter
apprivoiser
approcher
approfondir
approprier
approuver
approvisionner
approximer
appuyer
apurer
aquaplaner
aquareller
arabiser
araméiser
aramer
araser
arbalétrer
arbitrer
arborer
arboriser
arc-bouter
archaïser
architecturer
archiver
arçonner
ardoiser
ardre
aréner
aréniser
arer
argenter
argoter
argotiser
arguer
argumenter
arianiser
arimer
ariser
aristocratiser
aristotéliser
arithmétiser
arlequiner
armaturer
armer
armorier
arnaquer
aromatiser
arpéger
arpenter
arquebuser
arquepincer
arquer
arracher
arraisonner
arranger
arrenter
arrérager
arrêter
arrher
arriérer
arrimer
arriser
arriver
arriver
arroger
arrondir
arroser
arsouiller
artérialiser
articler
articuler
artificialiser
artiller
artistiquer
aryler
ascensionner
ascétiser
aseptiser
asiatiser
aspecter
asperger
asphalter
asphyxier
aspirer
assabler
assagir
assaillir
assainir
assaisonner
assarmenter
assassiner
assauvagir
assavoir
assécher
assembler
assener
asséner
assentir
asseoir
assermenter
asserter
asservir
asseurer
assibiler
assiéger
assigner
assimiler
assister
associer
assoiffer
assoifferde
assoler
assombrir
assommer
assonancer
assoner
assortir
assoter
assoupir
assouplir
assourdir
assouvir
assujettir
assumer
assurer
asthénier
asticoter
astiquer
astreindre
atermoyer
athéiser
atlantiser
atomiser
atourner
atrophier
atropiniser
attabler
attacher
attaquer
attarder
atteindre
atteler
attendre
attendrir
attenir
attenter
attentionner
atténuer
atterrer
atterrir
attester
attiédir
attifer
attiger
attirer
attiser
attitrer
attoucher
attraire
attraper
attremper
attribuer
attriquer
attrister
attrouper
auberger
aubiner
audiencer
audiovisualiser
auditer
auditionner
auger
augmenter
augurer
aulofer
auloffer
aumôner
auner
auréoler
auréolerde
aurifier
ausculter
authentifier
authentiquer
auticher
auto-immuniser
auto-imposer
auto-infecter
auto-intoxiquer
auto-ioniser
auto-observer
auto-optimaliser
auto-optimiser
auto-organiser
autoaccuser
autoadapter
autoadhérer
autoadministrer
autoagglomérer
autoagglutiner
autoalimenter
autoallumer
autoamorcer
autoamortir
autoamputer
autoanalyser
autoancrer
autoapprendre
autoassembler
autoassurer
autocabrer
autocasser
autocastrer
autocensurer
autocentrer
autociter
autoclaver
autocoller
autoconcurrencer
autocondenser
autoconserver
autoconsommer
autocontester
autocontrôler
autocopier
autocorriger
autocratiser
autocritiquer
autocurer
autodébrayer
autodécontracter
autodécrasser
autodéfendre
autodéprécier
autodéterminer
autodétruire
autodifférencier
autodigérer
autodiriger
autodiscipliner
autodissoudre
autodupliquer
autoéduquer
autoenchâsser
autoenseigner
autoentretenir
autoépurer
autoéquiper
autoévaporiser
autoévoluer
autoexciter
autoféconder
autofinancer
autoformer
autofretter
autogérer
autogouverner
autographier
autoguider
autojustifier
autolimiter
autolubrifier
autolyser
automatiser
automédiquer
automutiler
autonettoyer
autonomiser
autopersuader
autopiloter
autopolliniser
autoporter
autopositionner
autoproclamer
autopropulser
autoprotéger
autopsier
autopunir
autoradiographier
autoréduire
autoréférer
autorégler
autoréguler
autorelaxer
autoremblayer
autorenforcer
autoréparer
autoreproduire
autoriser
autosatisfaire
autostabiliser
autostimuler
autostopper
autosuffire
autosuggestionner
autotomiser
autotracter
autovacciner
autoventiler
autovérifier
avachir
avalancher
avaler
avaliser
avancer
avantager
avarier
aveindre
aventurer
avérer
avertir
aveugler
aveulir
avilir
avillonner
aviner
avir
aviser
avitailler
aviver
avocasser
avoiner
avoir
avoisiner
avorter
avouer
avoyer
axéniser
axer
axiomatiser
azimuter
azoter
azurer
babiller
babouiner
bâcher
bachonner
bachoter
bâcler
baculer
badauder
badger
badigeonner
badiner
baffer
bafouer
bafouiller
bâfrer
bagarrer
bagoter
bagotter
bagouler
baguenauder
baguer
baguetter
bahuter
baigner
bailler
bâiller
bâillonner
baiser
baisoter
baisouiller
baisser
bakéliser
balader
baladiner
balafrer
balancer
balancetiquer
balanstiquer
balayer
balbutier
baleiner
baliser
baliver
baliverner
balkaniser
ballaster
baller
ballonner
ballotter
balourder
baluchonner
balustrer
bambocher
banaliser
bancariser
bancher
bander
banderiller
banderoler
bandonéoner
bandouiller
banner
bannir
banquer
banqueter
baptiser
baqueter
baragouiner
barander
baraquer
baratiner
baratter
barbariser
barbéier
barbeler
barber
barbeyer
barbifier
barboter
barbouiller
barder
barderde
barémer
baréter
barguigner
barioler
baronifier
baroniser
baronner
baroquiser
barouder
barreauder
barrer
barricader
barrir
barroter
baryter
barytoner
barytonner
basaner
basculer
baser
basifier
bassiner
baster
bastillonner
bastinguer
bastionner
bastir
bastonner
bastringuer
batailler
bâtarder
bateler
bâter
batifoder
batifoler
batiker
batiller
bâtir
bâtonner
batourner
battiker
battre
baudir
baudouiner
bauger
bauxitiser
bavarder
bavasser
baver
baver
bavocher
bavoter
bayerauxcorneilles
bazarder
béatifier
beausir
bêcher
bêcheveter
bécoter
bécotter
becquer
becqueter
becter
beder
bedonner
béer
bégayer
bégueter
bêler
béliner
belligérer
beloter
bêlotter
bémoliser
bénéficier
bénir
benzoyler
benzyler
béqueter
béquiller
bercer
berdiner
berginiser
berlauder
berlurer
berner
bertauder
bertillonner
bertouder
besogner
bessemeriser
bestialiser
bêtifier
bêtiser
bétonner
beugler
beurrer
biaiser
bibeloter
biberonner
bicarbonater
bicher
bichonner
bichromater
bidistiller
bidonner
bidouiller
biduler
bienvenirsefaire
biffer
biffetonner
biftoner
biftonner
bifurquer
bigarrer
biger
bigler
bigophoner
bigorner
bilbauder
biler
bilinguiser
billarder
billebarrer
billebauder
biller
billeter
billonner
biloquer
biner
binoter
biodégrader
biographier
biotraiter
biotransformer
bipasser
biper
bipolariser
biqueter
biscoter
biscuiter
biseauter
bisegmenter
biser
bisiallitiser
bismuther
bisouter
bisquer
bissecter
bisser
bistourner
bistrer
bistrouiller
biter
bitonner
bitter
bitturer
bitumer
bituminer
bituminiser
biturer
bivaquer
bivouaquer
bizouter
bizuter
blablater
blackbouler
blaguer
blaireauter
blairer
blaiser
blâmer
blanchir
blanchoyer
blaser
blasonner
blasphémer
blatérer
bléer
blêmir
bléser
blesser
blettir
bleuir
bleuter
blinder
blinquer
blobloter
blondir
blondoyer
bloquer
blottir
blouser
bluetter
bluffer
bluter
bobiner
bocarder
boësser
boetter
boguer
boire
boiser
boisseler
boissonner
boitailler
boiter
boitiller
boitter
bolcheviser
bolincher
bombancer
bombarder
bomber
bombiller
bombyciner
bonderde
bondériser
bondieuser
bondir
bondonner
bonifier
bonimenter
bonir
bonneter
bonnir
booker
borater
bordailler
bordayer
bordéliser
border
bordoyer
bordurer
borgnoter
boriquer
borner
bornoyer
borosilicater
borurer
boscarder
bosseler
bosser
bosseyer
bossuer
bostonner
botaniser
botteler
botter
bottiner
bouarder
boubouler
boucaner
boucharder
bouche-porer
boucher
bouchonner
boucler
bouder
boudiner
bouffarder
bouffer
bouffir
bouffonner
bouger
bougier
bougner
bougonner
bouiller
bouillir
bouillonner
bouillotter
boulanger
bouler
bouleter
boulevarder
bouleverser
bouliner
boulocher
boulonner
boulotter
boultiner
boumer
bouquer
bouquiner
bourder
bourdonner
bourgeonner
bourlinguer
bourraquer
bourreler
bourrer
bourriner
bourriquer
bourser
boursicoter
boursiller
boursoufler
bousculer
bouser
bousiller
boustifailler
boutader
bouter
boutiquer
boutonner
bouturer
bouveter
bouziller
bovaryser
bowaliser
boxer
boyauter
boycotter
brachycéphaliser
braconner
brader
braguetter
brailler
braire
braiser
braisiller
bramer
brancarder
brancher
brandiller
brandir
brandonner
brandouiller
branler
branlocher
bransqueter
braquer
braser
brasiller
brasquer
brasser
brasseyer
bravader
braver
brayer
brédir
bredouiller
brelander
brêler
breller
brésiller
bretailler
brétailler
bretauder
bretouder
bretteler
bretter
breveter
brichetonner
bricoler
brider
bridger
briefer
brier
brifer
briffer
briffeter
brifter
brigander
briguer
brillanter
brillantiner
briller
brilloter
brimbaler
brimer
brinder
bringuebaler
bringueballer
bringuer
brinquebaler
brinqueballer
brioler
briquer
briqueter
briser
britanniser
brocanter
brocarder
brocher
brocheter
broder
bromer
bromurer
broncher
brondir
bronzer
brosser
brouetter
brouillarder
brouillasser
brouiller
brouillonner
brouir
broussailler
brousser
brouter
broyer
bruiner
bruir
bruire
bruisser
bruiter
brûler
brumasser
brumer
brumiser
brunir
brusquer
brutaliser
bruter
bucciner
bûcher
bûcheronner
bucoliser
budgéter
budgétiser
buer
buffeter
buffler
bugler
buiser
buissonner
buller
buquer
bureaucratiser
burger
buriner
buser
busquer
buter
butiner
butonner
butter
buvarder
buvoter
by-passer
byzantiniser
cabaler
cabaliser
cabaner
câbler
câblodistribuer
cabosser
caboter
cabotiner
cabrer
cabrioler
cacaber
cacaoter
cacarder
cacher
cacheter
cachetonner
cachotter
cadastrer
cadavériser
cadeauter
cadeler
cadenasser
cadencer
cadetter
cadmier
cadoter
cadrer
cafarder
cafeter
cafouiller
cafter
cagnarder
cagner
caguer
cahoter
caillebotter
cailler
cailleter
caillouter
cajoler
calaminer
calamistrer
calamiter
calancher
calandrer
calaouer
calcer
calcifier
calciner
calculer
calencher
caler
caleter
calfater
calfeutrer
calibrer
câliner
calligraphier
calmer
calmir
calomnier
calorifier
calorifuger
caloriser
calotter
calquer
calter
camarder
cambrer
cambrioler
cambuser
cambuter
cameloter
camer
camionner
camisoler
camoufler
camper
camphrer
canadianiser
canaliser
canarder
cancaner
canceller
cancériser
candidater
candir
candiser
caner
caneter
canevasser
canneler
canneller
canner
canneter
cannetiller
cannibaliser
canoniser
canonner
canoter
canqueter
canter
cantiner
cantonner
canuler
caoutchouter
capahuter
caparaçonner
capéer
capeler
caper
capeyer
capier
capillariser
capitaliser
capitonner
capituler
caponner
caporaliser
capoter
caprifier
capser
capsuler
capter
captiver
capturer
capuchonner
caquer
caqueter
carabiner
caracoler
caracouler
caractériser
caramboler
carambouiller
caraméliser
carapater
carbonater
carboner
carboniser
carbonitrurer
carbonyler
carboxyler
carburer
carcailler
carder
cardinaliser
carencer
caréner
carer
caresser
carguer
caricaturer
carier
carillonner
carmer
carminer
carneler
carnifier
carniser
carotter
caroubler
carreler
carrer
carrosser
carroyer
cartayer
cartelliser
carter
cartographier
cartonner
cascader
caséifier
casemater
caser
caserner
casquer
casser
casseroler
castagner
castiller
castrer
casuistiquer
cataboliser
cataloguer
catalyser
catapulter
cataracter
catastropher
catcher
catéchiser
catégoriser
cathétériser
catholiciser
catir
cauchemarder
causaliser
causer
caustifier
cautériser
cautionner
cavalcader
cavaler
caver
caviarder
cédernele
céder
ceindre
ceintrer
ceinturer
célébrer
celer
cémenter
cendrer
censer
censurer
centraliser
centrer
centrifuger
centupler
céphaliser
céramiser
cercler
cérifier
cerner
certifier
césariser
cesser
cétoliser
chabler
chabroler
chagriner
chahuter
chaîner
chalcographier
chalenger
challenger
chaloir
chalouper
chaluter
chamailler
chamarrer
chambarder
chambouler
chambranler
chambrer
chamoiser
champagniser
champaniser
champer
champignonner
champlever
champouigner
champouiner
chanceler
chancetiquer
chancir
chancrer
chanfreiner
chanfrer
changer
chanlatter
chansonner
chanstiquer
chanter
chantonner
chantourner
chaparder
chapeauter
chapeler
chaperonner
chapitrer
chaponner
chapoter
chaptaliser
charançonner
charbonner
charcuter
chardonner
charger
chariboter
charioter
charivariser
charlataner
charmer
charogner
charpenter
charpir
charquer
charrier
charroyer
charruer
charteriser
chasser
châtaigner
châtier
chatonner
chatouiller
chatoyer
châtrer
chatter
chattertonner
chauber
chaucher
chauder
chauffer
chauler
chaumer
chausser
chauvir
chavirer
chélater
chelinguer
chêmer
cheminer
chemiser
chenaler
chénevotter
chènevotter
chercher
chérer
chérir
cherrer
chevaler
chevaucher
chever
cheviller
chevir
chevreter
chevretter
chevronner
chevroter
chiader
chialer
chibrer
chicaner
chicorer
chicoter
chienner
chier
chiffonner
chiffrer
chigner
chimer
chimérer
chimiquer
chimiser
chimisorber
chiner
chinoiser
chiper
chipoter
chiquenauder
chiquer
chiqueter
chirographier
chlinguer
chlorater
chlorer
chloritiser
chloroformer
chloroformiser
chlorométhyler
chlorotranspirer
chlorovaporiser
chlorurer
chocolater
chocotter
choir
choisir
chômer
chondrifier
choper
chopiner
chopper
choquer
chorégraphier
choséifier
choser
chosifier
chouanner
chouchouter
choufer
chouler
chouraver
chourer
chouriner
choyer
christianiser
chromaluminiser
chromater
chromatiser
chromer
chromiser
chroniciser
chroniquer
chronométrer
chrysalider
chucheter
chuchoter
chuinter
chuter
chylifier
chymifier
cibler
cicatriser
cicéroniser
cigler
ciller
cimenter
cinéfier
cinégraphier
cinématiser
cinématographier
cingler
cintrer
circoncire
circonscrire
circonstancier
circonvenir
circonvoisiner
circulariser
circuler
cirer
cisailler
ciseler
citer
citronner
civiliser
clabauder
claboter
claircer
claironner
clairsemer
clamcer
clamecer
clamer
clamper
clampiner
clampser
clamser
claper
clapir
clapoter
clapper
clapser
claquemurer
claquer
claqueter
clarifier
classer
classifier
clatir
claudiquer
claustrer
claveliser
claver
claveter
clavetter
clayonner
cléricaliser
clicher
cligner
clignerdel'oeil
clignoter
climatiser
clinquanter
clinquer
cliper
clipper
cliquer
cliqueter
clisser
cliver
clochardiser
clocher
clocheter
clocter
cloisonner
cloîtrer
cloner
cloper
clopiner
cloquer
clore
clôturer
clouer
clouter
coaccuser
coacerver
coacher
coacquérir
coadapter
coadministrer
coagglutiner
coaguler
coalescer
coaliser
coaltarer
coaltariser
coarticuler
coasser
coassocier
cobalter
cocaïniser
cocarder
cocheniller
côcher
cocher
cochonner
coconiser
coconner
cocooner
cocoter
cocotter
cocufier
coder
codétenir
codifier
codiller
codiriger
coéchanger
coéditer
coéduquer
coexister
coexploiter
coffiner
coffrer
cofinancer
cofonder
cogénérer
cogérer
cogiter
cogner
cognoter
cohabiter
cohérer
cohériter
cohésionner
cohober
coiffer
coincer
coincher
coïncider
coinculper
coïter
cokéfier
colchiciner
colérer
collaber
collaborer
collationner
collecter
collectionner
collectiviser
coller
colleter
colliger
collisionner
colloquer
colloyer
colluvionner
colmater
colombiner
coloniser
colorer
colorier
coloriser
colostomiser
colouer
colporter
colpotomiser
coltiner
columniser
combattre
combiner
combler
combuger
commander
commanditer
commémorer
commencer
commenter
commercer
commercialiser
commérer
commettre
comminer
commissionner
commotionner
commuer
communaliser
communautariser
communier
communiquer
communiser
commuter
compacter
compactifier
comparaître
comparer
comparoir
compartimenter
compasser
compatir
compénétrer
compenser
compéter
compiler
compisser
complaindre
complaire
complanter
complémenter
compléter
complétiviser
complexer
complexifier
complimenter
compliquer
comploter
comporter
composer
composter
compoter
compounder
comprendre
compresser
comprimer
compromettre
comptabiliser
compter
compulser
computer
computériser
concasser
concaténer
concéder
concélébrer
concentrer
conceptualiser
concerner
concerter
concevoir
conchier
concilier
conclure
concocter
concorder
concourir
concréter
concrétionner
concrétiser
concubiner
concupiscer
concurrencer
condamner
condenser
condescendre
condimenter
conditionner
condoléancer
conduire
confabuler
confectionner
confédérer
conférer
confesser
confessionnaliser
confier
configurer
confiner
confire
confirmer
confisquer
confiter
confluer
confondre
confondreen
conformer
conforter
confronter
confusionner
congédier
congeler
congestionner
conglober
conglomérer
conglutiner
congoliser
congratuler
congréer
coniser
conjecturer
conjoindre
conjointer
conjouir
conjuguer
conjurer
connaître
connaître
connecter
conniver
connobler
connoter
conquérir
conquêter
consacrer
conscientiser
conseiller
consentir
conserver
considérer
consigner
consister
consoler
consolider
consommariser
consommer
consonantifier
consonantiser
consoner
consonifier
