Leurs Altesses
Leurs Excellences
Leurs Majestés
Sa Majesté
Sa Majesté impériale
Son Altesse
Son Excellence
Vos Altesses
Vos Courtoisies
Vos Excellences
Vos Grandeurs
Vos Grâces
Vos Majestés
Vos Majestés Impériales
Vos Révérences
Vostre Majesté
Votre Altesse
Votre Courtoisie
Votre Excellence
Votre Grandeur
Votre Grâce
Votre Majesté
Votre Majesté Impériale
Votre Révérence
a
alle
aucun
aucune
auquel
autre chose
autrui
auxquelles
auxquels
bibi
boro
bôrô
c'
c't
c'tte
ce
ce que
ce qui
ceci
cela
celle
celle-ci
celle-là
celles
celles-ci
celles-là
celleux
celui
celui-ci
celui-là
celuy
celà
certains
ceste
cette
ceux
ceux-ci
ceux-là
chacun
chacune
cézigue
d'aucuns
de laquelle
desquelles
desquels
dont
duquel
dégun
ej
elle
elle-même
elles
elles-mêmes
ellesmêmes
en
eux
eux-autres
eux-mêmes
fous
grand monde
grand-chose
icelle
icelles
icelui
iceux
iel
ielle
ielles
iels
il
il y en a des qui
ils
j'
je
j’
koi
l'
l'on
l'un
l'un l'autre
l'une l'autre
la
la leur
la mienne
la nôtre
la sienne
la tienne
la vôtre
laquelle
le
le leur
le mien
le nôtre
le sien
le tien
le vôtre
lequel
les
les leurs
les miennes
les miens
les nôtres
les siennes
les siens
les tiennes
les tiens
les unes les autres
les uns
les uns après les autres
les uns les autres
les vôtres
lesquelles
lesquels
leur
leurs
lui
lui
lui-même
l’
ma pomme
maint
me
moi
moi-même
moé
mézigue
n'importe laquelle
n'importe lequel
n'importe lesquelles
n'importe lesquels
n'importe qui
n'importe quoi
nawak
nostre
nostres
nous
nous autres
nous-mêmes
nul
nulle
on
personne
qq1
qqc
qqch
qqn
qu'
qu'est-ce que
qu'est-ce qui
quantième
que
quel
quelle
quelles
quelqu'un
quelqu'une
quelque
quelque chose
quelques
quelques choses
quelques-unes
quelques-unes
quelques-uns
quels
qui
qui que ce puisse être
qui que ce pût être
qui que ce soit
quiconque
quid
quoi
quoi que
quoi que ce soit
quoy
rien
rien de rien
rien de tel
rien du tout
s'
se
soi
soi-même
s’
t'
te
tel
toi
toi-même
ton
tous
tous les deux
tout
tout et n'importe quoi
tout le monde
tout un chacun
toé
tu
tézigue
un
un tant soit peu
un tel
une telle
unetelle
untel
vostre
vostres
vous
vous autres
vous-autres
vous-même
vous-mêmes
walou
y
y en a des qui
yé
à laquelle
âme qui vive
ç'
ça
çui
